13:49:24.672, LED:[0], Chans:(10, 11, 96, 232, 89, 38)
13:49:24.705, LED:[0], Chans:(10, 11, 96, 231, 88, 38)
13:49:24.739, LED:[0], Chans:(10, 11, 96, 231, 88, 40)
13:49:24.773, LED:[0], Chans:(10, 12, 96, 231, 88, 37)
13:49:24.807, LED:[0], Chans:(10, 12, 96, 232, 88, 38)
13:49:24.840, LED:[0], Chans:(10, 12, 95, 232, 88, 39)
13:49:24.873, LED:[0], Chans:(10, 12, 96, 231, 89, 38)
13:49:24.907, LED:[0], Chans:(10, 11, 96, 231, 88, 38)
13:49:24.941, LED:[0], Chans:(10, 12, 96, 232, 89, 38)
13:49:24.975, LED:[0], Chans:(10, 11, 96, 232, 88, 40)
13:49:25.008, LED:[0], Chans:(10, 11, 96, 232, 89, 40)
13:49:25.060, LED:[1], Chans:(36, 33, 208, 1307, 187, 116)
13:49:25.093, LED:[1], Chans:(37, 33, 208, 1310, 187, 115)
13:49:25.127, LED:[1], Chans:(37, 34, 208, 1309, 187, 116)
13:49:25.160, LED:[1], Chans:(37, 33, 208, 1307, 187, 117)
13:49:25.195, LED:[1], Chans:(37, 34, 208, 1308, 186, 115)
13:49:25.228, LED:[1], Chans:(37, 33, 208, 1310, 187, 116)
13:49:25.261, LED:[1], Chans:(37, 34, 209, 1310, 187, 115)
13:49:25.295, LED:[1], Chans:(36, 34, 208, 1310, 187, 117)
13:49:25.328, LED:[1], Chans:(37, 34, 208, 1308, 187, 117)
13:49:25.363, LED:[1], Chans:(37, 34, 208, 1310, 187, 117)
13:49:25.396, LED:[1], Chans:(37, 34, 209, 1311, 187, 115)
13:49:25.430, LED:[1], Chans:(36, 33, 209, 1309, 187, 117)
13:49:25.463, LED:[1], Chans:(37, 33, 208, 1309, 187, 116)
13:49:25.496, LED:[1], Chans:(36, 34, 208, 1311, 187, 115)
13:49:25.530, LED:[1], Chans:(37, 33, 208, 1311, 187, 116)
13:49:25.564, LED:[1], Chans:(37, 34, 208, 1309, 187, 118)
13:49:25.598, LED:[1], Chans:(37, 33, 208, 1308, 187, 118)
13:49:25.631, LED:[1], Chans:(36, 33, 208, 1309, 187, 115)
13:49:25.664, LED:[1], Chans:(37, 34, 209, 1310, 187, 116)
13:49:25.698, LED:[1], Chans:(37, 33, 208, 1309, 187, 116)
13:49:25.732, LED:[1], Chans:(37, 33, 208, 1308, 187, 116)
13:49:25.766, LED:[1], Chans:(37, 33, 208, 1307, 186, 117)
13:49:25.799, LED:[1], Chans:(37, 34, 208, 1310, 187, 115)
13:49:25.832, LED:[1], Chans:(37, 33, 208, 1312, 187, 115)
13:49:25.866, LED:[1], Chans:(37, 34, 209, 1309, 187, 116)
13:49:25.900, LED:[1], Chans:(36, 33, 208, 1310, 187, 116)
13:49:25.934, LED:[1], Chans:(36, 33, 208, 1310, 187, 116)
13:49:25.967, LED:[1], Chans:(37, 33, 208, 1312, 188, 115)
13:49:26.001, LED:[1], Chans:(37, 33, 209, 1312, 188, 117)
13:49:26.034, LED:[1], Chans:(37, 33, 209, 1310, 187, 116)
13:49:26.068, LED:[1], Chans:(37, 33, 208, 1310, 187, 118)
13:49:26.102, LED:[1], Chans:(38, 33, 209, 1313, 188, 115)
13:49:26.135, LED:[1], Chans:(37, 34, 209, 1313, 188, 116)
13:49:26.169, LED:[1], Chans:(37, 34, 208, 1313, 188, 116)
13:49:26.202, LED:[1], Chans:(37, 34, 208, 1312, 187, 117)
13:49:26.236, LED:[1], Chans:(36, 33, 209, 1313, 188, 116)
13:49:26.270, LED:[1], Chans:(37, 33, 209, 1315, 188, 117)
13:49:26.303, LED:[1], Chans:(37, 34, 209, 1315, 187, 117)
13:49:26.337, LED:[1], Chans:(37, 34, 209, 1314, 188, 118)
13:49:26.370, LED:[1], Chans:(37, 33, 209, 1315, 188, 117)
13:49:26.404, LED:[1], Chans:(37, 34, 209, 1314, 188, 116)
13:49:26.438, LED:[1], Chans:(37, 33, 209, 1313, 188, 118)
13:49:26.471, LED:[1], Chans:(37, 33, 209, 1315, 188, 115)
13:49:26.505, LED:[1], Chans:(37, 34, 210, 1317, 188, 119)
13:49:26.538, LED:[1], Chans:(37, 34, 211, 1317, 188, 117)
13:49:26.572, LED:[1], Chans:(37, 34, 209, 1316, 188, 117)
13:49:26.606, LED:[1], Chans:(36, 34, 209, 1315, 188, 120)
13:49:26.639, LED:[1], Chans:(37, 33, 209, 1314, 188, 117)
13:49:26.673, LED:[1], Chans:(37, 33, 209, 1313, 188, 117)
13:49:26.706, LED:[1], Chans:(37, 33, 210, 1315, 189, 118)
13:49:26.740, LED:[1], Chans:(37, 34, 210, 1317, 188, 117)
13:49:26.774, LED:[1], Chans:(37, 34, 209, 1315, 189, 116)
13:49:26.807, LED:[1], Chans:(37, 34, 209, 1314, 188, 116)
13:49:26.841, LED:[1], Chans:(37, 34, 209, 1314, 188, 116)
13:49:26.874, LED:[1], Chans:(37, 34, 210, 1316, 188, 119)
13:49:26.908, LED:[1], Chans:(37, 34, 209, 1315, 188, 118)
13:49:26.942, LED:[1], Chans:(37, 33, 209, 1314, 189, 117)
13:49:26.976, LED:[1], Chans:(37, 33, 209, 1315, 189, 117)
13:49:27.009, LED:[1], Chans:(37, 33, 209, 1317, 188, 118)
13:49:27.042, LED:[1], Chans:(37, 33, 209, 1314, 188, 119)
13:49:27.076, LED:[1], Chans:(37, 34, 210, 1316, 189, 119)
13:49:27.110, LED:[1], Chans:(37, 33, 210, 1316, 188, 118)
13:49:27.144, LED:[1], Chans:(36, 34, 210, 1316, 189, 117)
13:49:27.177, LED:[1], Chans:(37, 34, 209, 1318, 188, 117)
13:49:27.210, LED:[1], Chans:(37, 33, 209, 1319, 189, 117)
13:49:27.244, LED:[1], Chans:(37, 33, 210, 1319, 189, 119)
13:49:27.277, LED:[1], Chans:(37, 33, 210, 1321, 190, 119)
13:49:27.312, LED:[1], Chans:(37, 34, 211, 1325, 190, 120)
13:49:27.345, LED:[1], Chans:(37, 34, 212, 1325, 190, 120)
13:49:27.378, LED:[1], Chans:(37, 34, 211, 1322, 190, 119)
13:49:27.412, LED:[1], Chans:(37, 34, 211, 1320, 190, 121)
13:49:27.445, LED:[1], Chans:(37, 34, 210, 1318, 190, 120)
13:49:27.480, LED:[1], Chans:(37, 33, 210, 1317, 189, 119)
13:49:27.513, LED:[1], Chans:(37, 33, 211, 1315, 189, 118)
13:49:27.547, LED:[1], Chans:(37, 34, 210, 1315, 189, 119)
13:49:27.580, LED:[1], Chans:(37, 33, 210, 1315, 189, 119)
13:49:27.613, LED:[1], Chans:(37, 34, 210, 1313, 189, 119)
13:49:27.648, LED:[1], Chans:(37, 34, 210, 1313, 189, 118)
13:49:27.681, LED:[1], Chans:(37, 33, 210, 1313, 189, 117)
13:49:27.715, LED:[1], Chans:(37, 34, 210, 1313, 189, 118)
13:49:27.748, LED:[1], Chans:(37, 34, 210, 1313, 188, 120)
13:49:27.781, LED:[1], Chans:(37, 35, 209, 1316, 188, 118)
13:49:27.816, LED:[1], Chans:(37, 33, 211, 1317, 188, 119)
13:49:27.849, LED:[1], Chans:(37, 34, 210, 1316, 189, 118)
13:49:27.883, LED:[1], Chans:(37, 34, 211, 1315, 189, 117)
13:49:27.916, LED:[1], Chans:(37, 34, 210, 1314, 189, 119)
13:49:27.950, LED:[1], Chans:(37, 33, 210, 1315, 189, 119)
13:49:27.984, LED:[1], Chans:(37, 34, 210, 1316, 188, 118)
13:49:28.017, LED:[1], Chans:(37, 34, 210, 1317, 188, 119)
13:49:28.051, LED:[1], Chans:(38, 34, 209, 1316, 188, 120)
13:49:28.084, LED:[1], Chans:(37, 33, 210, 1318, 188, 117)
13:49:28.118, LED:[1], Chans:(37, 34, 210, 1318, 189, 120)
13:49:28.151, LED:[1], Chans:(37, 33, 211, 1317, 189, 117)
13:49:28.185, LED:[1], Chans:(37, 33, 210, 1319, 190, 119)
13:49:28.219, LED:[1], Chans:(37, 33, 210, 1317, 189, 118)
13:49:28.252, LED:[1], Chans:(37, 34, 211, 1318, 189, 118)
13:49:28.286, LED:[1], Chans:(37, 33, 210, 1318, 189, 117)
13:49:28.319, LED:[1], Chans:(37, 33, 210, 1317, 189, 119)
13:49:28.353, LED:[1], Chans:(37, 34, 210, 1317, 188, 119)
13:49:28.387, LED:[1], Chans:(37, 34, 210, 1317, 188, 118)
13:49:28.420, LED:[1], Chans:(37, 33, 210, 1317, 189, 117)
13:49:28.454, LED:[1], Chans:(37, 33, 210, 1316, 189, 116)
13:49:28.487, LED:[1], Chans:(37, 34, 210, 1317, 189, 119)
13:49:28.521, LED:[1], Chans:(37, 34, 210, 1318, 189, 118)
13:49:28.555, LED:[1], Chans:(37, 33, 209, 1316, 189, 118)
13:49:28.588, LED:[1], Chans:(37, 34, 210, 1317, 189, 120)
13:49:28.622, LED:[1], Chans:(37, 34, 209, 1317, 189, 116)
13:49:28.655, LED:[1], Chans:(37, 33, 210, 1320, 189, 118)
13:49:28.690, LED:[1], Chans:(37, 34, 210, 1321, 189, 118)
13:49:28.723, LED:[1], Chans:(37, 33, 210, 1321, 189, 117)
13:49:28.756, LED:[1], Chans:(37, 34, 210, 1320, 190, 118)
13:49:28.790, LED:[1], Chans:(37, 33, 210, 1319, 189, 121)
13:49:28.823, LED:[1], Chans:(37, 33, 210, 1319, 189, 119)
13:49:28.858, LED:[1], Chans:(37, 34, 210, 1319, 189, 118)
13:49:28.891, LED:[1], Chans:(37, 34, 211, 1320, 189, 121)
13:49:28.924, LED:[1], Chans:(37, 34, 211, 1319, 189, 119)
13:49:28.958, LED:[1], Chans:(37, 33, 211, 1320, 189, 118)
13:49:28.991, LED:[1], Chans:(37, 34, 210, 1319, 189, 118)
13:49:29.025, LED:[1], Chans:(37, 33, 210, 1319, 190, 119)
13:49:29.059, LED:[1], Chans:(37, 34, 210, 1319, 189, 120)
13:49:29.092, LED:[1], Chans:(37, 33, 210, 1320, 189, 118)
13:49:29.126, LED:[1], Chans:(37, 33, 210, 1321, 190, 117)
13:49:29.159, LED:[1], Chans:(36, 34, 211, 1322, 190, 119)
13:49:29.193, LED:[1], Chans:(37, 33, 210, 1321, 190, 117)
13:49:29.227, LED:[1], Chans:(37, 35, 210, 1321, 190, 117)
13:49:29.261, LED:[1], Chans:(37, 34, 210, 1321, 190, 117)
13:49:29.294, LED:[1], Chans:(37, 34, 211, 1320, 190, 120)
13:49:29.327, LED:[1], Chans:(37, 33, 210, 1319, 190, 121)
13:49:29.361, LED:[1], Chans:(37, 34, 211, 1319, 189, 119)
13:49:29.395, LED:[1], Chans:(37, 34, 210, 1321, 189, 120)
13:49:29.429, LED:[1], Chans:(37, 34, 210, 1321, 190, 118)
13:49:29.462, LED:[1], Chans:(37, 33, 210, 1319, 189, 119)
13:49:29.495, LED:[1], Chans:(36, 33, 209, 1320, 189, 118)
13:49:29.529, LED:[1], Chans:(37, 34, 210, 1321, 189, 117)
