14:36:24.909, LED:[0], Chans:(8, 9, 91, 229, 81, 16)
14:36:24.942, LED:[0], Chans:(8, 9, 90, 230, 81, 16)
14:36:24.976, LED:[0], Chans:(8, 10, 91, 230, 81, 15)
14:36:25.010, LED:[0], Chans:(8, 9, 91, 230, 81, 17)
14:36:25.043, LED:[0], Chans:(8, 9, 90, 230, 81, 16)
14:36:25.077, LED:[0], Chans:(8, 9, 91, 229, 81, 15)
14:36:25.110, LED:[0], Chans:(8, 9, 91, 230, 81, 18)
14:36:25.143, LED:[0], Chans:(8, 10, 91, 229, 81, 17)
14:36:25.178, LED:[0], Chans:(8, 9, 90, 228, 81, 16)
14:36:25.211, LED:[0], Chans:(9, 9, 91, 229, 82, 18)
14:36:25.245, LED:[0], Chans:(8, 9, 91, 229, 81, 16)
14:36:25.278, LED:[0], Chans:(8, 10, 91, 229, 81, 15)
14:36:25.311, LED:[0], Chans:(8, 9, 91, 230, 81, 16)
14:36:25.346, LED:[0], Chans:(8, 9, 91, 229, 81, 17)
14:36:25.379, LED:[0], Chans:(8, 9, 91, 229, 82, 18)
14:36:25.413, LED:[0], Chans:(8, 10, 91, 229, 81, 18)
14:36:25.446, LED:[0], Chans:(8, 10, 91, 229, 81, 18)
14:36:25.479, LED:[0], Chans:(8, 9, 90, 228, 81, 17)
14:36:25.514, LED:[0], Chans:(8, 9, 90, 228, 81, 17)
14:36:25.547, LED:[0], Chans:(8, 10, 90, 229, 81, 19)
14:36:25.581, LED:[0], Chans:(8, 9, 91, 229, 82, 19)
14:36:25.614, LED:[0], Chans:(8, 9, 90, 229, 81, 16)
14:36:25.647, LED:[0], Chans:(8, 9, 91, 229, 82, 21)
14:36:25.682, LED:[0], Chans:(8, 9, 91, 229, 81, 18)
14:36:25.715, LED:[0], Chans:(8, 9, 90, 229, 81, 16)
14:36:25.749, LED:[0], Chans:(8, 9, 90, 230, 81, 18)
14:36:25.782, LED:[0], Chans:(8, 9, 90, 230, 81, 15)
14:36:25.815, LED:[0], Chans:(8, 9, 91, 229, 81, 16)
14:36:25.850, LED:[0], Chans:(8, 9, 91, 229, 81, 16)
14:36:25.883, LED:[0], Chans:(8, 10, 91, 229, 81, 21)
14:36:25.917, LED:[0], Chans:(8, 9, 90, 229, 81, 16)
14:36:25.950, LED:[0], Chans:(8, 10, 90, 230, 81, 19)
14:36:25.984, LED:[0], Chans:(9, 9, 91, 229, 81, 19)
14:36:26.017, LED:[0], Chans:(8, 10, 91, 229, 81, 19)
14:36:26.051, LED:[0], Chans:(8, 9, 91, 230, 81, 16)
14:36:26.085, LED:[0], Chans:(8, 9, 91, 229, 81, 18)
14:36:26.118, LED:[0], Chans:(8, 9, 91, 230, 81, 16)
14:36:26.152, LED:[0], Chans:(8, 9, 90, 230, 82, 19)
14:36:26.185, LED:[0], Chans:(8, 9, 91, 230, 81, 17)
14:36:26.219, LED:[0], Chans:(8, 10, 91, 229, 81, 22)
14:36:26.253, LED:[0], Chans:(8, 9, 91, 229, 81, 21)
14:36:26.286, LED:[0], Chans:(9, 9, 90, 229, 81, 19)
14:36:26.320, LED:[0], Chans:(8, 9, 90, 229, 81, 18)
14:36:26.353, LED:[0], Chans:(8, 9, 90, 229, 81, 15)
14:36:26.387, LED:[0], Chans:(8, 9, 91, 229, 82, 18)
14:36:26.421, LED:[0], Chans:(8, 10, 90, 229, 82, 19)
14:36:26.454, LED:[0], Chans:(8, 9, 91, 229, 82, 16)
14:36:26.488, LED:[0], Chans:(8, 10, 91, 229, 81, 18)
14:36:26.521, LED:[0], Chans:(8, 9, 91, 229, 82, 18)
14:36:26.555, LED:[0], Chans:(8, 9, 90, 230, 81, 17)
14:36:26.589, LED:[0], Chans:(8, 10, 90, 229, 81, 16)
14:36:26.622, LED:[0], Chans:(8, 9, 91, 230, 81, 15)
14:36:26.656, LED:[0], Chans:(8, 10, 91, 229, 81, 16)
14:36:26.689, LED:[0], Chans:(8, 9, 91, 230, 81, 17)
14:36:26.723, LED:[0], Chans:(8, 10, 92, 229, 82, 16)
14:36:26.757, LED:[0], Chans:(9, 9, 91, 229, 82, 17)
14:36:26.790, LED:[0], Chans:(8, 8, 91, 229, 82, 16)
14:36:26.824, LED:[0], Chans:(8, 10, 92, 229, 81, 17)
14:36:26.857, LED:[0], Chans:(8, 10, 91, 229, 81, 18)
14:36:26.891, LED:[0], Chans:(8, 9, 90, 229, 81, 16)
14:36:26.925, LED:[0], Chans:(8, 10, 90, 229, 81, 16)
14:36:26.958, LED:[0], Chans:(9, 10, 91, 229, 81, 18)
14:36:26.992, LED:[0], Chans:(8, 9, 91, 229, 81, 16)
14:36:27.025, LED:[0], Chans:(8, 9, 91, 230, 81, 16)
14:36:27.058, LED:[0], Chans:(8, 9, 90, 229, 81, 16)
14:36:27.093, LED:[0], Chans:(8, 10, 91, 228, 81, 18)
14:36:27.126, LED:[0], Chans:(8, 9, 91, 229, 81, 18)
14:36:27.160, LED:[0], Chans:(8, 9, 91, 230, 81, 17)
14:36:27.193, LED:[0], Chans:(8, 9, 91, 230, 82, 21)
14:36:27.226, LED:[0], Chans:(8, 10, 91, 229, 82, 19)
14:36:27.261, LED:[0], Chans:(8, 10, 91, 229, 81, 17)
14:36:27.294, LED:[0], Chans:(8, 9, 91, 230, 82, 18)
14:36:27.328, LED:[0], Chans:(8, 9, 91, 229, 82, 15)
14:36:27.361, LED:[0], Chans:(9, 9, 91, 230, 81, 15)
14:36:27.395, LED:[0], Chans:(9, 9, 91, 229, 81, 15)
14:36:27.429, LED:[0], Chans:(8, 9, 91, 231, 82, 15)
14:36:27.462, LED:[0], Chans:(8, 9, 91, 231, 82, 17)
14:36:27.496, LED:[0], Chans:(8, 9, 91, 229, 82, 17)
14:36:27.529, LED:[0], Chans:(8, 10, 91, 230, 82, 15)
14:36:27.563, LED:[0], Chans:(8, 9, 91, 231, 81, 19)
14:36:27.597, LED:[0], Chans:(8, 9, 91, 230, 82, 18)
14:36:27.630, LED:[0], Chans:(8, 10, 92, 230, 82, 21)
14:36:27.664, LED:[0], Chans:(8, 9, 91, 230, 82, 18)
14:36:27.697, LED:[0], Chans:(8, 10, 92, 230, 81, 19)
14:36:27.731, LED:[0], Chans:(8, 9, 91, 229, 81, 15)
14:36:27.765, LED:[0], Chans:(8, 9, 91, 230, 82, 21)
14:36:27.798, LED:[0], Chans:(8, 9, 90, 230, 82, 19)
14:36:27.832, LED:[0], Chans:(8, 9, 91, 230, 81, 16)
14:36:27.865, LED:[0], Chans:(8, 9, 91, 230, 82, 22)
14:36:27.899, LED:[0], Chans:(8, 9, 91, 229, 82, 17)
14:36:27.932, LED:[0], Chans:(8, 10, 91, 230, 81, 18)
14:36:27.966, LED:[0], Chans:(8, 9, 91, 229, 82, 17)
14:36:28.000, LED:[0], Chans:(8, 9, 91, 229, 81, 16)
14:36:28.033, LED:[0], Chans:(8, 9, 91, 230, 82, 16)
14:36:28.067, LED:[0], Chans:(8, 10, 91, 231, 82, 19)
14:36:28.100, LED:[0], Chans:(8, 10, 91, 231, 82, 19)
14:36:28.134, LED:[0], Chans:(8, 9, 91, 230, 82, 22)
14:36:28.168, LED:[0], Chans:(8, 10, 92, 229, 82, 18)
14:36:28.201, LED:[0], Chans:(8, 10, 91, 229, 82, 16)
14:36:28.235, LED:[0], Chans:(9, 10, 91, 229, 82, 15)
14:36:28.268, LED:[0], Chans:(8, 10, 92, 230, 82, 16)
14:36:28.303, LED:[0], Chans:(8, 10, 91, 230, 82, 17)
14:36:28.336, LED:[0], Chans:(8, 9, 91, 230, 82, 18)
14:36:28.369, LED:[0], Chans:(8, 10, 91, 230, 82, 21)
14:36:28.403, LED:[0], Chans:(8, 9, 91, 230, 82, 15)
14:36:28.436, LED:[0], Chans:(8, 9, 91, 230, 82, 16)
14:36:28.471, LED:[0], Chans:(8, 9, 91, 229, 82, 18)
14:36:28.504, LED:[0], Chans:(8, 9, 91, 230, 82, 17)
14:36:28.537, LED:[0], Chans:(8, 9, 91, 231, 82, 15)
14:36:28.571, LED:[0], Chans:(8, 10, 92, 229, 82, 15)
14:36:28.604, LED:[0], Chans:(8, 10, 91, 230, 81, 16)
14:36:28.639, LED:[0], Chans:(8, 10, 92, 230, 82, 17)
14:36:28.672, LED:[0], Chans:(8, 9, 91, 230, 82, 17)
14:36:28.705, LED:[0], Chans:(8, 9, 91, 229, 82, 18)
14:36:28.739, LED:[0], Chans:(8, 9, 91, 230, 82, 18)
14:36:28.772, LED:[0], Chans:(8, 10, 91, 231, 82, 15)
14:36:28.806, LED:[0], Chans:(8, 10, 92, 230, 82, 16)
14:36:28.840, LED:[0], Chans:(8, 10, 91, 230, 81, 15)
14:36:28.873, LED:[0], Chans:(8, 9, 91, 231, 82, 15)
14:36:28.907, LED:[0], Chans:(8, 9, 91, 229, 82, 16)
14:36:28.940, LED:[0], Chans:(8, 9, 91, 230, 82, 17)
14:36:28.974, LED:[0], Chans:(8, 10, 91, 230, 82, 15)
14:36:29.008, LED:[0], Chans:(8, 9, 91, 230, 82, 18)
14:36:29.041, LED:[0], Chans:(8, 9, 91, 231, 82, 15)
14:36:29.075, LED:[0], Chans:(8, 9, 91, 231, 82, 17)
14:36:29.108, LED:[0], Chans:(8, 9, 91, 231, 82, 16)
14:36:29.142, LED:[0], Chans:(8, 9, 92, 231, 82, 17)
14:36:29.176, LED:[0], Chans:(8, 10, 91, 231, 82, 15)
14:36:29.209, LED:[0], Chans:(8, 9, 91, 231, 82, 16)
14:36:29.243, LED:[0], Chans:(8, 9, 91, 231, 82, 17)
14:36:29.276, LED:[0], Chans:(8, 9, 91, 230, 82, 19)
14:36:29.310, LED:[0], Chans:(8, 9, 92, 230, 82, 17)
14:36:29.344, LED:[0], Chans:(8, 10, 91, 230, 82, 16)
14:36:29.377, LED:[0], Chans:(8, 9, 91, 231, 82, 15)
14:36:29.411, LED:[0], Chans:(8, 10, 92, 230, 82, 15)
14:36:29.444, LED:[0], Chans:(8, 10, 91, 230, 82, 21)
14:36:29.478, LED:[0], Chans:(8, 10, 91, 230, 82, 16)
14:36:29.512, LED:[0], Chans:(8, 10, 91, 230, 82, 16)
14:36:29.545, LED:[0], Chans:(8, 10, 91, 230, 82, 18)
14:36:29.579, LED:[0], Chans:(8, 9, 91, 230, 82, 18)
14:36:29.612, LED:[0], Chans:(8, 9, 91, 231, 81, 16)
14:36:29.646, LED:[0], Chans:(8, 10, 91, 231, 82, 16)
14:36:29.680, LED:[0], Chans:(8, 9, 91, 230, 82, 18)
14:36:29.714, LED:[0], Chans:(8, 9, 91, 231, 82, 16)
14:36:29.747, LED:[0], Chans:(9, 9, 92, 232, 82, 15)
14:36:29.780, LED:[0], Chans:(8, 10, 91, 230, 81, 16)
14:36:29.814, LED:[0], Chans:(8, 9, 91, 230, 82, 15)
14:36:29.847, LED:[0], Chans:(8, 9, 91, 230, 82, 15)
14:36:29.882, LED:[0], Chans:(8, 9, 92, 230, 82, 15)
14:36:29.915, LED:[0], Chans:(8, 9, 91, 230, 82, 16)
14:36:29.948, LED:[0], Chans:(9, 9, 91, 231, 82, 19)
14:36:29.982, LED:[0], Chans:(8, 10, 91, 230, 81, 18)
14:36:30.015, LED:[0], Chans:(8, 9, 91, 230, 82, 16)
14:36:30.050, LED:[0], Chans:(8, 9, 91, 230, 82, 18)
14:36:30.083, LED:[0], Chans:(9, 10, 91, 231, 82, 18)
14:36:30.116, LED:[0], Chans:(8, 10, 92, 229, 82, 18)
14:36:30.150, LED:[0], Chans:(8, 9, 91, 231, 82, 18)
14:36:30.183, LED:[0], Chans:(8, 10, 92, 230, 82, 17)
14:36:30.218, LED:[0], Chans:(8, 10, 92, 230, 82, 16)
14:36:30.251, LED:[0], Chans:(8, 9, 92, 230, 82, 21)
14:36:30.284, LED:[0], Chans:(8, 9, 91, 231, 82, 16)
14:36:30.318, LED:[0], Chans:(8, 10, 91, 230, 82, 15)
14:36:30.351, LED:[0], Chans:(8, 9, 91, 230, 82, 16)
14:36:30.386, LED:[0], Chans:(8, 9, 92, 230, 82, 18)
